0.2743	0.385	0.1498	0.24	0.1529
0.3937				
	0.3345			
		0.1721		
			0.2337	
				0.1788
0.2581	0.366			
0.2126		0.1716		
0.2434			0.235	
0.3073				0.4247
	0.3665	0.155		
	0.4057		0.1634	
	0.3671			0.2621
		0.157	0.2245	
		0.1625		0.3694
			0.2343	0.1412
0.21	0.3373	0.1666		
0.2297	0.3313		0.264	
0.2504	0.3582			0.3321
0.2064		0.1723	0.2407	
0.2172		0.176		0.3459
0.2381			0.2368	0.3472
	0.3302	0.1639	0.2233	
	0.3229	0.1531		0.3651
	0.3327		0.2455	0.3415
		0.1547	0.2503	0.1064
0.2341	0.3375	0.1754	0.1987	
0.211	0.3185	0.1707		0.1747
0.2294	0.3495		0.1459	0.3404
0.2147		0.1645	0.1796	0.3378
	0.3263	0.1585	0.2328	0.3416
0.2319	0.3658	0.1727	0.2396	0.3485
