0.08021	0.1739	0.08965	0.09264	0.03313
0.08039				
	0.1695			
		0.08591		
			0.0895	
				0.02783
0.07858	0.1833			
0.074		0.0997		
0.07722			0.09718	
0.07897				0.04462
	0.1695	0.09275		
	0.1706		0.09318	
	0.1748			0.03192
		0.08968	0.09181	
		0.09358		0.02908
			0.09185	0.03488
0.07498	0.1698	0.09575		
0.07699	0.1782		0.09704	
0.07893	0.1863			0.04559
0.0722		0.09919	0.0961	
0.07222		0.0982		0.03689
0.0766			0.09342	0.03508
	0.1654	0.09358	0.09253	
	0.1708	0.09396		0.03286
	0.1793		0.09073	0.02937
		0.09626	0.09024	0.02609
0.07762	0.1822	0.09869	0.1015	
0.07576	0.1735	0.09718		0.04513
0.0795	0.1797		0.09272	0.04141
0.07369		0.09944	0.09697	0.03312
	0.1708	0.09392	0.09334	0.02803
0.07854	0.1864	0.1	0.09814	0.04453
