0.03664	0.1478	0.08067	0.08043	0.02041
0.03576				
	0.1427			
		0.0797		
			0.08093	
				0.01692
0.03606	0.1434			
0.03275		0.08292		
0.03575			0.08488	
0.03711				0.01601
	0.1385	0.07971		
	0.1492		0.08343	
	0.1493			0.01624
		0.0897	0.04267	
		0.08472		0.01184
			0.08297	0.01275
0.03528	0.138	0.08183		
0.03883	0.1488		0.08495	
0.03748	0.1462			0.0188
0.03496		0.08498	0.0815	
0.03535		0.08511		0.01615
0.03787			0.08445	0.01438
	0.1413	0.08215	0.08067	
	0.1454	0.08238		0.01618
	0.1518		0.08345	0.01667
		0.0886	0.07956	0.01616
0.03534	0.1407	0.08259	0.08481	
0.03661	0.1418	0.08246		0.01842
0.0382	0.1488		0.08472	0.01694
0.03677		0.08664	0.07945	0.01813
	0.1452	0.08277	0.08481	0.01745
0.0367	0.1442	0.08296	0.08298	0.01641
