0.05777	0.1813	0.09048	0.07671	0.02365
0.05797				
	0.1651			
		0.08696		
			0.0802	
				0.01999
0.06659	0.1776			
0.05328		0.0962		
0.0622			0.08512	
0.06259				0.03028
	0.1567	0.08795		
	0.196		0.07568	
	0.1706			0.02618
		0.09272	0.07777	
		0.09465		0.01553
			0.08076	0.01517
0.07121	0.1674	0.09013		
0.07143	0.1843		0.09027	
0.08371	0.1905			0.03126
0.06334		0.09325	0.08412	
0.0673		0.09374		0.02513
0.07009			0.08804	0.02587
	0.1784	0.09214	0.08023	
	0.1767	0.0925		0.02856
	0.1827		0.08171	0.02173
		0.09641	0.07349	0.01508
0.06032	0.1795	0.09453	0.09382	
0.07608	0.1823	0.09286		0.0306
0.07096	0.1996		0.08362	0.0365
0.07139		0.09415	0.07843	0.02027
	0.1898	0.09507	0.08288	0.02674
0.06556	0.1665	0.09228	0.08441	0.02573
