0.005267	0.07486	0.1192	0.1943	0.3024
0.004765				
	0.07434			
		0.1194		
			0.1906	
				0.3
0.004412	0.07738			
0.003875		0.1225		
0.006973			0.1936	
0.004757				0.3065
	0.07519	0.1156		
	0.07232		0.1854	
	0.07293			0.2966
		0.1156	0.192	
		0.1164		0.2999
			0.1885	0.297
0.004678	0.07717	0.1164		
0.006961	0.07414		0.195	
0.004981	0.07465			0.2986
0.006793		0.1161	0.1997	
0.004752		0.1189		0.3038
0.006561			0.1906	0.2977
	0.07386	0.1145	0.1931	
	0.07449	0.1154		0.2983
	0.07227		0.1872	0.2966
		0.1144	0.1911	0.2975
0.007305	0.07403	0.1155	0.1934	
0.004973	0.07509	0.1155		0.2988
0.006663	0.07219		0.1925	0.2965
0.006843		0.115	0.1937	0.2979
	0.07256	0.1143	0.1926	0.2969
0.007211	0.07327	0.1144	0.1952	0.2974
