0.1022	0.381	0.1245	0.1114	0.08506
0.1623				
	0.317			
		0.1164		
			0.116	
				0.215
0.1067	0.2633			
0.09147		0.1304		
0.09653			0.1832	
0.09416				0.1221
	0.3544	0.1328		
	0.3204		0.1351	
	0.3515			0.08215
		0.1261	0.1205	
		0.1243		0.1256
			0.1322	0.1243
0.08381	0.246	0.1326		
0.09195	0.3071		0.1296	
0.09837	0.3772			0.09825
0.1001		0.1268	0.1512	
0.1133		0.1335		0.1359
0.1197			0.1207	0.143
	0.2646	0.1245	0.1381	
	0.3473	0.1255		0.1021
	0.2966		0.1307	0.1277
		0.1264	0.118	0.07475
0.09258	0.4347	0.1253	0.1225	
0.09358	0.2792	0.1295		0.09629
0.1054	0.3073		0.122	0.08293
0.09383		0.1316	0.1249	0.1336
	0.2825	0.1272	0.1705	0.1131
0.1085	0.2447	0.1313	0.1325	0.1101
